method,kl,wasserstein,cosine,top1_agree,top5_agree
Student (no KD),2.2464076473236085,0.17054322419166565,0.9226617977142334,92.94999998092652,99.83
KL-KD,1.4752875745773315,0.10160465729236602,0.9463201318740845,93.49000001907349,99.87
Fixed-OT-KD,1.8890020214080812,0.13214602313041687,0.9274412663459778,93.5199999332428,99.87999999046326
Adaptive-OT-KD,2.2478612205505373,0.16921615300178527,0.9212447514533997,93.14000000953675,99.82999998092652
