method,kl,wasserstein,cosine,top1_agree,top5_agree
Student (no KD),7.842679977416992,0.39413685789108277,0.7443203278541565,69.84999997138976,91.20000007629395
KL-KD,4.765549828338623,0.2657707935810089,0.8351042148590088,72.9699999332428,93.41000008583069
Fixed-OT-KD,6.36402575378418,0.3376571413993835,0.7580410364151001,70.02,91.10999994277954
Adaptive-OT-KD,7.874565675354004,0.39294033851623533,0.7383704254150391,69.08999999046326,90.77000002861023
